"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-11-01 00:06:53+08:00",120.9667,14.65,27.26,31.86,26.68,27.32,1009.0,93.0,1009.0,1011.0,1.03,0.0,"",40.0,"2024-11-01 05:51:33+08:00","2024-11-01 17:27:45+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:06:53.233552+08:00","Caloocan City",2.0,2008256.0,""
10000.0,"2024-11-01 00:06:55+08:00",120.4517,17.1947,24.83,25.77,24.83,24.83,1008.0,92.0,1008.0,1002.0,2.02,132.0,3.78,100.0,"2024-11-01 05:56:25+08:00","2024-11-01 17:27:00+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:55.078233+08:00","Candon","","",""
10000.0,"2024-11-01 00:06:17+08:00",123.1964,10.3864,21.46,22.14,21.46,21.46,1012.0,95.0,1012.0,958.0,1.35,293.0,1.41,100.0,"2024-11-01 05:38:04+08:00","2024-11-01 17:23:23+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:57.494252+08:00","Canlaon","","",""
10000.0,"2024-11-01 00:06:58+08:00",123.6402,10.1061,26.29,26.29,26.29,26.29,1011.0,83.0,1011.0,1001.0,1.24,223.0,0.67,100.0,"2024-11-01 05:36:00+08:00","2024-11-01 17:21:55+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:58.858771+08:00","Carcar","","",""
10000.0,"2024-11-01 00:07:00+08:00",121.0576,14.3132,26.58,26.58,26.55,27.17,1009.0,94.0,1009.0,997.0,0.89,161.0,0.89,100.0,"2024-11-01 05:50:50+08:00","2024-11-01 17:27:45+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:00.921326+08:00","Carmona",2.0,2084056.0,""
10000.0,"2024-11-01 00:07:03+08:00",124.8861,11.7753,26.08,26.08,26.08,26.08,1011.0,86.0,1011.0,1007.0,2.13,114.0,2.82,84.0,"2024-11-01 05:32:47+08:00","2024-11-01 17:15:10+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:07:03.477442+08:00","Catbalogan","","",""
10000.0,"2024-11-01 00:07:05+08:00",121.7725,16.9347,25.26,26.11,25.26,25.26,1008.0,87.0,1008.0,1001.0,1.77,188.0,1.71,100.0,"2024-11-01 05:50:51+08:00","2024-11-01 17:22:01+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:05.871142+08:00","Cauayan","","",""
10000.0,"2024-11-01 00:05:24+08:00",120.9169,14.4825,27.15,31.76,26.74,27.34,1009.0,95.0,1009.0,1009.0,1.03,0.0,"",40.0,"2024-11-01 05:51:34+08:00","2024-11-01 17:28:07+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:07.957325+08:00","Cavite City",1.0,8160.0,""
10000.0,"2024-11-01 00:02:14+08:00",123.8907,10.3167,27.81,32.07,27.81,27.81,1011.0,83.0,1011.0,996.0,2.06,240.0,"",40.0,"2024-11-01 05:35:13+08:00","2024-11-01 17:20:41+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:10.271369+08:00","Cebu City",1.0,8187.0,""
10000.0,"2024-11-01 00:07:11+08:00",121.1,14.6333,27.17,31.7,26.64,27.27,1009.0,94.0,1009.0,1001.0,1.03,0.0,"",40.0,"2024-11-01 05:51:00+08:00","2024-11-01 17:27:14+08:00",500.0,"Rain","light rain","10n","2024-11-01 00:07:11.343090+08:00","City of Marikina",2.0,2008256.0,0.11
10000.0,"2024-11-01 00:07:13+08:00",123.5833,12.3333,25.74,26.72,25.74,25.74,1011.0,90.0,1011.0,1000.0,2.64,183.0,5.38,100.0,"2024-11-01 05:38:36+08:00","2024-11-01 17:19:46+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:13.767440+08:00","City of Masbate","","",""
10000.0,"2024-11-01 00:07:15+08:00",122.65,11.15,24.14,24.96,24.14,24.14,1010.0,90.0,1010.0,1004.0,1.18,192.0,1.51,100.0,"2024-11-01 05:41:04+08:00","2024-11-01 17:24:46+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:15.674501+08:00","City of Passi","","",""
10000.0,"2024-11-01 00:07:18+08:00",123.9833,12.9833,25.36,26.22,25.36,25.36,1011.0,87.0,1011.0,997.0,0.88,197.0,1.13,100.0,"2024-11-01 05:37:41+08:00","2024-11-01 17:17:29+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:18.229276+08:00","City of Sorsogon","","",""
10000.0,"2024-11-01 00:03:14+08:00",124.2464,7.2236,24.72,25.6,24.72,24.72,1011.0,90.0,1011.0,1004.0,0.6,148.0,0.62,30.0,"2024-11-01 05:30:34+08:00","2024-11-01 17:22:30+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:20.797652+08:00","Cotabato","","",""
10000.0,"2024-11-01 00:07:22+08:00",121.5047,17.7061,25.13,25.94,25.13,25.13,1008.0,86.0,1008.0,993.0,0.83,307.0,0.89,100.0,"2024-11-01 05:52:46+08:00","2024-11-01 17:22:13+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:22.024525+08:00","Dagupan","","",""
10000.0,"2024-11-01 00:07:23+08:00",124.0272,10.5208,28.03,32.82,28.03,28.03,1011.0,84.0,1011.0,992.0,1.24,227.0,1.45,100.0,"2024-11-01 05:34:54+08:00","2024-11-01 17:19:55+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:23.469700+08:00","Danao",1.0,8187.0,""
10000.0,"2024-11-01 00:07:24+08:00",123.9469,10.2706,28.03,32.65,28.03,28.03,1011.0,83.0,1011.0,1002.0,2.57,250.0,"",40.0,"2024-11-01 05:34:57+08:00","2024-11-01 17:20:31+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:24.826724+08:00","Dapitan",1.0,8187.0,""
10000.0,"2024-11-01 00:07:25+08:00",120.9367,14.3294,26.21,26.21,26.18,26.8,1009.0,94.0,1009.0,993.0,2.36,168.0,2.74,100.0,"2024-11-01 05:51:20+08:00","2024-11-01 17:28:13+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:26.022397+08:00","Dasmariñas",2.0,2084056.0,""
10000.0,"2024-11-01 00:07:27+08:00",125.6128,7.0731,24.05,25.12,24.05,24.05,1011.0,100.0,1011.0,1011.0,1.03,0.0,"",20.0,"2024-11-01 05:24:56+08:00","2024-11-01 17:17:12+08:00",801.0,"Clouds","few clouds","02n","2024-11-01 00:07:27.639225+08:00","Davao",1.0,8154.0,""
10000.0,"2024-11-01 00:07:30+08:00",125.3572,6.7497,24.93,25.75,24.93,24.93,1011.0,87.0,1011.0,994.0,1.78,305.0,1.51,19.0,"2024-11-01 05:25:38+08:00","2024-11-01 17:18:33+08:00",801.0,"Clouds","few clouds","02n","2024-11-01 00:07:30.167732+08:00","Digos","","",""
10000.0,"2024-11-01 00:07:32+08:00",123.3414,8.5894,25.76,26.53,25.76,25.76,1011.0,82.0,1011.0,1005.0,2.18,203.0,2.32,67.0,"2024-11-01 05:35:36+08:00","2024-11-01 17:24:42+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:07:32.409038+08:00","Dipolog","","",""
10000.0,"2024-11-01 00:07:34+08:00",123.3081,9.3103,26.33,26.33,26.33,26.33,1011.0,74.0,1011.0,983.0,1.5,274.0,1.41,89.0,"2024-11-01 05:36:30+08:00","2024-11-01 17:24:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:34.151034+08:00","Dumaguete","","",""
10000.0,"2024-11-01 00:07:35+08:00",124.5225,8.5631,25.5,26.25,25.5,25.5,1011.0,82.0,1011.0,1001.0,1.89,147.0,1.92,30.0,"2024-11-01 05:30:51+08:00","2024-11-01 17:20:00+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:35.760215+08:00","El Salvador","","",""
10000.0,"2024-11-01 00:07:37+08:00",123.4992,10.8403,26.26,26.26,26.26,26.26,1011.0,84.0,1011.0,1002.0,0.72,280.0,0.91,100.0,"2024-11-01 05:37:21+08:00","2024-11-01 17:21:42+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:37.953150+08:00","Escalante","","",""
10000.0,"2024-11-01 00:07:39+08:00",120.9464,15.3072,24.45,25.38,24.45,24.45,1009.0,93.0,1009.0,1010.0,2.33,148.0,2.85,100.0,"2024-11-01 05:52:21+08:00","2024-11-01 17:27:06+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:39.123536+08:00","Gapan","","",""
10000.0,"2024-11-01 00:07:40+08:00",125.1717,6.1128,26.01,26.01,26.01,26.01,1011.0,80.0,1011.0,998.0,1.73,5.0,2.08,0.0,"2024-11-01 05:25:42+08:00","2024-11-01 17:19:57+08:00",800.0,"Clear","clear sky","01n","2024-11-01 00:07:40.656683+08:00","General Santos","","",""
10000.0,"2024-11-01 00:07:42+08:00",120.8817,14.3869,26.67,30.06,26.59,27.21,1009.0,93.0,1009.0,1001.0,3.34,177.0,4.19,100.0,"2024-11-01 05:51:37+08:00","2024-11-01 17:28:22+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:42.920150+08:00","General Trias",2.0,2084056.0,""
10000.0,"2024-11-01 00:07:44+08:00",125.1167,8.8333,25.27,26.1,25.27,25.27,1013.0,86.0,1013.0,950.0,1.74,183.0,1.48,21.0,"2024-11-01 05:28:46+08:00","2024-11-01 17:17:20+08:00",801.0,"Clouds","few clouds","02n","2024-11-01 00:07:44.611491+08:00","Gingoog City","","",""
10000.0,"2024-11-01 00:07:46+08:00",122.8706,10.0989,25.61,26.55,25.61,25.61,1011.0,89.0,1011.0,991.0,1.8,160.0,1.66,100.0,"2024-11-01 05:39:05+08:00","2024-11-01 17:25:00+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:46.807467+08:00","Himamaylan","","",""
